央视,#genre#
广东卫视,http://hlsliveali-cdn.ysp.cctv.cn/11D77D3F7D314690864E2D07447BF9497E84136F2178F5E14C61E225525EA47CC69B1CCE51FA2CCCE8336D4D66A21BDD7E958E3138791D60206A3361ED4A12B9BE7BE12C978465BA1AC3A9F2FAB9B27F6633F7B68A2B06DD432D7CD0CEDAF0A630A83A01A630626A7C19378564E50026DF3472789A029B0967E8FBB3571C9AA10DDE14F659B097E03FCE4F95382887766D5170250656F34F5564F1FB84EEC33E5A731F2134AF01862E414843F2A3D044/2024060902.m3u8
广西卫视,http://hlsliveali-cdn.ysp.cctv.cn/22121AF22F1B6EC59C2A4636C6D9E077984B7FA33BEF4B731BC29533CC352CE1545649394F6470DB88AA7D453ECB1D2332965D08D5EFAF398FE96E870F8F0FC5252CD2B93E6D6F02EB83B7B4B96942B7B0CCDBDD12EE910C9A6045594133BD99E9DE748B43437140C8DA512249D74356BAB97A77C615F0447E95DE949A8A3096FB2B704EB3CBF3B04F791C4F62E94CAA110606D9D0D612B83430B77113B9622232C383C496A3076CA43BCBAE71D2EFF2/2024060702.m3u8
黑龙江卫视,http://hlsliveali-cdn.ysp.cctv.cn/4FB071DF22B9F22C18F69DF6C218009FC771974861D65C1740CCC925D54E8F5E7AA43A69D5E7C18FF45194082CEB1DEBE32E14AED469193E7AFE88E7FBC94EA794AC5D9520E87AC8566DC39CDD9BC4B00A2D5E02D339FA5C9F7D2B7148E5EA2BEF4DCD8B9F23C207A04267A01C177691B9A4773CBB22DB0CDCB798E1F4C9A4045462B1992E78F3AA58675AA849576FD5D5504329FEEDA37FC96085B10AB0B972B7390BFF58A329C5986E85E334B7E078/2024061002.m3u8
海南卫视,http://hlsliveali-cdn.ysp.cctv.cn/7B31F07C0EF67287A2239BE4B5204C7F4E991D7FA236DCA4F2C5B06B152DAA3F2BB40F34F15FC05D0B839CAD0F61F7EDDFB3862EB9011F33D55FF91F0713E6D62CD64D92CFBA8BB64E076A2962FBD2A8950FDFC9E9F1B32FA5DF7AD92B3DDF55DF2105E735AC290143CA88A4C1C6123255CEF4802F5F7289B2219C27F9BAD8FD879198AE0F541E90B31194B35931A2AB7E287EF918BEDB1DBE11C4B4C68AC49C7FD67412A0D1AC11B466BF2F400FEEF3/2024055602.m3u8
重庆卫视,http://hlsliveali-cdn.ysp.cctv.cn/99B28A1C9F3B61CE3ED6E0C79C1B8E7DDCB954D6AE28877CDF2AF1ACB60740AE4A398A078C2512CDD1A0ECDCF3AC1E1AF4256DA21190A029EC23433E387EF0A5C14C6C77E0D79992A03DC3BFE046F99233158087F738CD28077590B837BE98DC84407D93200F65B8E67F0385B32792E2972FC190E0DC0C571D5948D268C455902F6A50EB00F9EA9FE3CDCAEB4EE1E0B845E588FA1DF84FCA24A161DA6BCBF9CFF6823B771CA45338EC05C6B96155EE82/2024061102.m3u8
深圳卫视,http://hlsliveali-cdn.ysp.cctv.cn/8101257DA9703BB48EAA90FF59F639D76788CEF3067CD4D85E060CBC52AEBAAEA1F097A526003E150D2762DB727D405F6C61E230061E228CDBA77BD142C7FDC98B26E584E26E03B31E0C8DAD78211C80B916C2EFEE7050411977385FB96AB72C49981A59978D16186D74BF76E873DC5F25B4B01E6156B3FAF8FFE7FA08C89A4E3CD09A6F18E89D04C92617FCB204D9B48CBDD7C067623FFD42104505C1C25ACF933256BE5AF8F429CB55858B447534A7/2024061302.m3u8
四川卫视,http://hlsliveali-cdn.ysp.cctv.cn/ADAD8C97DAA367BC6D95108337569557799095A83A00489FDE9719AC511FE041E79A0A3B36A6389C58B44D904295CCC9EF481F5EE45DDE4228A597BCABC46D78A5307E4DFF6D3C2D35E7362392D7BF6B656A13448CACE2E56BA029812A6A5F910FD4983FA6BF52EB8F72C9E263C6BC51235178AD92BBA69C3DE3F15A2EF2D76A3845074B925E84E3DB2BEBE88F5D04CECABBE766359B152D0D3D8502A2EF03401C92F579C40A8AE610008BE8A2A1BE69/2024061402.m3u8
河南卫视,http://hlsliveali-cdn.ysp.cctv.cn/D2CAAC347574A3866A0B920B37C7C390E0950D4F42F24A14C64338D228F62C2F630FC3861627D9695A863830B730D72DD54749B243B948931B07A1DD4C4082A0981EB1F93BD523F773C1E2387F042625AC6278B5BB89FBB8D34FEA617509B1982C1634B9E13E60E98B98BF6B015E4B64D06FBC7936C4F141B659248D0EA6B71765CC9C8564F159FE421A3235667D44F82DAAF4AD602459B5A4D9CA9C43816BA3E4221B51DDB48956BBD641C9C0708B2B/2024059702.m3u8
东南卫视,http://hlsliveali-cdn.ysp.cctv.cn/5C8B91B4CD1C3B6B6EDDBC9441383AAE44090B9FCB61490238CD5039FB837660D0D45DB96B125E8BC0AEF205323B0D4441CAE4AE8E3CC8869860E7AF3A0CE3C5B844B06B5C7C140752F907538609E61DE3026D0AFBB1BF93E1EEB0F24F9132464ACE5309DBD384DE31A054015E76E8082891C11DBE50971FB08BBA22D505D9864452184DE17E7799927FCEC3451052F5B8E20AEC82F913C3C4A0016F61E5C07399D48E1C229CAA706F52DF311660547B/2024061502.m3u8
贵州卫视,http://hlsliveali-cdn.ysp.cctv.cn/E223EFF8789336A7689140D727BC81B1A9ACB00C462B8DADB68DCF55C838F536617FB44D70A03B177F576F46F502D3BDEEAA402B74986A59C35B24743E544BD03151F9BD6EC8A0CFCEE97C291EC625694092BA6BA1EC0D939C94BF4B381102150759F8C8BA21985DA3F086B2160D9BA2F336482677359E95D80CE3427F9DC4C16D0CA5AD68562A5F6E31E09A051E75D9547B38770E4CCC826276D3C0BD97EA9DFB71B6CF446769DEB05A70FDBD16E8E2/2024061602.m3u8
